# eBE(cm-1)  int. (rel. X0)  beta
12477.289     -0.00001       0.05499
12526.369      0.00000       0.05436
12575.401      0.00000       0.05367
12624.385      0.00000       0.05128
12673.321      0.00000       0.05102
12722.209      0.00000       0.04732
12771.049      0.00000       0.04698
12819.841      0.00000       0.04087
12868.585      0.00000       0.03860
12917.281      0.00000       0.02863
12965.929      0.00000       0.02479
13014.529      0.00000       0.00658
13063.081      0.00000      -0.01391
13111.585      0.00000      -0.04327
13160.041      0.00000      -0.10611
13208.449      0.00000      -0.26924
13256.809      0.00000      -1.40837
13305.121     -0.00000       1.26083
13353.385     -0.00000       0.49541
13401.601     -0.00000       0.37646
13449.769     -0.00000       0.30383
13497.889     -0.00000       0.30381
13545.961     -0.00000       0.26179
13593.985     -0.00000       0.28111
13641.961     -0.00000       0.27153
13689.889     -0.00000       0.28149
13737.769     -0.00000       0.30044
13785.601     -0.00000       0.31758
13833.385     -0.00000       0.35408
13881.121     -0.00000       0.38453
13928.809     -0.00000       0.46108
13976.449     -0.00000       0.53202
14024.041     -0.00000       0.65809
14071.585     -0.00000       0.84587
14119.081     -0.00000       1.09389
14166.529     -0.00000       1.51831
14213.929     -0.00000       2.20136
14261.281     -0.00000       2.80416
14308.585     -0.00000       3.55192
14355.841     -0.00000       4.30726
14403.049     -0.00000       6.53261
14450.209     -0.00001       6.59254
14497.321      0.00008       6.68891
14544.385      0.00028       6.66459
14591.401      0.00011       6.55655
14638.369     -0.00022       6.68829
14685.289     -0.00003       6.72455
14732.161     -0.00003       6.73526
14778.985     -0.00002       6.77238
14825.761     -0.00001       6.78038
14872.489     -0.00001       6.79667
14919.169     -0.00001       6.80404
14965.801     -0.00001       6.80714
15012.385     -0.00001       6.80455
15058.921     -0.00000       6.79566
15105.409     -0.00000       6.77930
15151.849     -0.00000       6.75471
15198.241     -0.00000       6.72065
15244.585     -0.00000       6.67686
15290.881     -0.00000       6.62048
15337.129     -0.00000       6.55194
15383.329     -0.00000       6.46770
15429.481     -0.00000       6.36947
15475.585     -0.00000       6.25451
15521.641     -0.00000       6.11603
15567.649     -0.00000       5.96774
15613.609     -0.00000       5.78710
15659.521     -0.00000       5.59166
15705.385     -0.00000       5.36893
15751.201     -0.00000       5.13056
15796.969     -0.00000       4.86458
15842.689     -0.00000       4.60533
15888.361     -0.00001       3.90503
15933.985     -0.00001       3.82470
15979.561      0.00021       3.81577
16025.089      0.00042       3.80715
16070.569     -0.00013       3.80200
16116.001     -0.00018       3.81767
16161.385     -0.00006       3.79384
16206.721     -0.00003       3.74207
16252.009     -0.00002       3.67743
16297.249     -0.00002       3.57800
16342.441     -0.00002       3.44919
16387.585     -0.00001       3.28515
16432.681     -0.00001       3.09256
16477.729     -0.00001       2.87554
16522.729     -0.00001       2.64439
16567.681     -0.00001       2.41220
16612.585     -0.00001       2.19232
16657.441     -0.00002       1.99838
16702.249     -0.00002       1.84020
16747.009     -0.00002       1.72455
16791.721     -0.00003       1.65471
16836.385     -0.00004       1.62878
16881.001     -0.00005       1.65194
16925.569     -0.00008       1.70736
16970.089     -0.00013       1.84531
17014.561     -0.00019       1.78468
17058.985     -0.00033       2.01390
17103.361     -0.00112       2.62965
17147.689     -0.00840       3.00660
17191.969     -0.00222      -2.25054
17236.201      0.19521       3.28133
17280.385      0.57712       2.83298
17324.521      0.55771       1.85881
17368.609      0.41414       0.45101
17412.649      0.48841       0.39950
17456.641      0.64507       0.21318
17500.585      0.69506      -0.27786
17544.481      0.66559      -0.78019
17588.329      0.66577      -1.16398
17632.129      0.49837      -1.46269
17675.881      0.14683      -1.91308
17719.585      0.15422      -1.10850
17763.241      0.23033      -1.03956
17806.849      0.15820      -1.01929
17850.409      0.17219      -0.72329
17893.921      0.17249      -0.95738
17937.385      0.15238      -0.91513
17980.801      0.06561      -0.21059
18024.169      0.06895      -0.51071
18067.489      0.12424      -0.31863
18110.761      0.09890      -0.93951
18153.985      0.09339      -0.95666
18197.161      0.10806      -0.28990
18240.289      0.13815      -0.49558
18283.369      0.14732      -0.63064
18326.401      0.16155      -0.49840
18369.385      0.12323      -0.31427
18412.321      0.02370       2.02129
18455.209      0.07076      -0.71470
18498.049      0.09945      -0.64609
18540.841      0.07205       0.08296
18583.585      0.09727       0.04049
18626.281      0.08171      -0.23169
18668.929      0.06924       0.20313
18711.529      0.15060      -0.21894
18754.081      0.06548      -1.39890
18796.585      0.04339      -0.38368
18839.041      0.09094       0.63382
18881.449      0.10758      -0.03025
18923.809      0.13875      -0.54320
18966.121      0.11121      -0.64477
19008.385      0.11872      -0.78907
19050.601      0.08069      -0.39348
19092.769      0.12642       0.28486
19134.889      0.30000      -1.22203
19176.961      0.59572      -1.45861
19218.985      0.50431      -1.18381
19260.961      0.16319      -0.57025
19302.889      0.09624       0.24518
19344.769      0.16527      -0.01689
19386.601      0.17537       0.33295
19428.385      0.12782       0.68342
19470.121      0.17572       0.19550
19511.809      0.13256      -0.01562
19553.449      0.14424      -0.08350
19595.041      0.09175       0.67609
19636.585      0.09950       1.31667
19678.081      0.07005       3.83393
19719.529      0.13138       0.62679
19760.929      0.12246      -0.41805
19802.281      0.10120      -0.67303
19843.585      0.17515      -0.46674
19884.841      0.08034      -0.35025
19926.049      0.06282       0.24745
19967.209      0.09535       0.03003
20008.321      0.06920      -1.67119
20049.385      0.09689      -1.61995
