# eBE(cm-1)  int. (rel. X0)  beta
12526.369     -0.00000       0.00220
12624.385      0.00000       0.00377
12722.209     -0.00000      -0.00042
12819.841      0.00000       0.00809
12917.281     -0.00000      -0.21061
13014.529      0.00000       0.03478
13111.585      0.00000       0.23108
13208.449      0.00000       0.56905
13305.121     -0.00000      -0.15410
13401.601     -0.00000      -0.07230
13497.889     -0.00000      -0.01103
13593.985     -0.00000      -0.13617
13689.889     -0.00000       0.60842
13785.601     -0.00000      -3.98310
13881.121     -0.00000       4.02025
13976.449      0.00000       7.88816
14071.585     -0.00000       6.27578
14166.529      0.00000       6.58949
14261.281     -0.00000       6.51190
14355.841      0.00001       6.51699
14450.209      0.00005       6.49984
14544.385     -0.00003       6.55423
14638.369     -0.00000       6.66244
14732.161     -0.00000       6.64421
14825.761     -0.00000       6.72809
14919.169     -0.00000       6.72685
15012.385     -0.00000       6.76090
15105.409     -0.00000       6.74938
15198.241     -0.00000       6.72326
15290.881     -0.00000       6.66481
15383.329     -0.00000       6.49151
15475.585     -0.00000       6.63249
15567.649     -0.00000       5.38658
15659.521      0.00000       0.89116
15751.201     -0.00000       3.85684
15842.689      0.00002       3.64412
15933.985      0.00008       3.62073
16025.089     -0.00008       3.63855
16116.001      0.00002       3.66165
16206.721     -0.00001       3.53419
16297.249     -0.00000       2.17934
16387.585     -0.00000       1.97577
16477.729     -0.00000      14.41597
16567.681     -0.00001      -0.53024
16657.441      0.00002      -0.89224
16747.009     -0.00011       0.89907
16836.385      0.00005      13.99655
16925.569     -0.00118       3.77989
17014.561      0.08206       1.15176
17103.361      0.42951       0.28293
17191.969      0.27990      -0.92950
17280.385      0.00619      11.68542
17368.609      0.07017      -0.44926
17456.641      0.04373      -1.99315
17544.481      0.00683       0.60116
17632.129      0.02753      -0.21625
17719.585      0.02827      -0.79003
17806.849      0.02475      -0.48737
17893.921      0.03169      -0.52431
17980.801      0.02930      -0.07856
18067.489      0.02180      -0.11240
18153.985      0.01636       1.20702
18240.289      0.01870      -1.28564
18326.401      0.02438       0.01440
18412.321      0.03143      -0.18738
18498.049      0.02822      -0.28521
18583.585      0.00788      -0.08473
18668.929      0.02247       0.76954
18754.081      0.03230      -0.58165
18839.041      0.01868       0.26684
18923.809      0.02280      -0.21308
19008.385      0.01949      -0.36240
19092.769      0.00971      -0.16472
19176.961      0.02884       0.29451
19260.961      0.02158       0.27655
19344.769      0.01264      -0.08034
19428.385      0.03556      -0.50316
19511.809      0.02734      -0.07348
19595.041      0.05319      -0.54653
19678.081      0.14637      -1.01052
19760.929      0.07838       0.08555
19843.585      0.01826       3.32870
19926.049      0.02475      -0.52242
20008.321      0.02778      -0.46061
20090.401      0.01762      -1.03173
20172.289      0.02877      -0.63169
20253.985      0.03889      -0.37599
