# eBE(cm-1)  int. (rel. X0)  beta
31314.811     -0.00000      -0.24493
31327.081      0.00000      -0.24245
31339.339     -0.00000      -0.24596
31351.585      0.00000      -0.23701
31363.819      0.00000       0.07357
31376.041      0.00000      -0.24147
31388.251      0.00000      -0.14667
31400.449      0.00000      -0.23125
31412.635      0.00000      -0.16673
31424.809      0.00000      -0.08712
31436.971      0.00000      -0.26005
31449.121      0.00000      -0.01724
31461.259     -0.00000      -1.51742
31473.385      0.00000       0.11958
31485.499     -0.00000      -0.24139
31497.601      0.00000       0.27451
31509.691     -0.00000      -0.26857
31521.769      0.00000       2.66345
31533.835     -0.00000      -0.30832
31545.889     -0.00000      -3.75202
31557.931     -0.00000      -0.30294
31569.961     -0.00000      -1.17269
31581.979     -0.00000      -0.37265
31593.985     -0.00000      -4.49531
31605.979     -0.00000      -0.32110
31617.961      0.00000      -0.12232
31629.931     -0.00000      -0.19109
31641.889      0.00000      -0.09733
31653.835     -0.00000      -0.12851
31665.769      0.00000      -0.14898
31677.691     -0.00000      -0.08685
31689.601     -0.00000      -0.41646
31701.499      0.00009      -0.33276
31713.385     -0.00000      78.68766
31725.259      0.00004      -1.39610
31737.121     -0.00007      -1.18863
31748.971      0.00000      -2.73837
31760.809     -0.00001      -1.05500
31772.635     -0.00000      -1.13323
31784.449     -0.00000       0.12221
31796.251      0.00002       7.36941
31808.041     -0.00001       5.31399
31819.819     -0.00001       4.27239
31831.585     -0.00000       2.56448
31843.339     -0.00000       2.45181
31855.081     -0.00000       1.80353
31866.811     -0.00000       1.63170
31878.529     -0.00000       1.37005
31890.235     -0.00000       1.23004
31901.929     -0.00000       1.09416
31913.611     -0.00000       0.99526
31925.281     -0.00000       0.90979
31936.939     -0.00000       0.83982
31948.585     -0.00000       0.78009
31960.219     -0.00000       0.72879
31971.841     -0.00000       0.68437
31983.451     -0.00000       0.64543
31995.049     -0.00000       0.61090
32006.635     -0.00000       0.58035
32018.209     -0.00000       0.55276
32029.771     -0.00000       0.52811
32041.321     -0.00000       0.50521
32052.859     -0.00000       0.48555
32064.385     -0.00000       0.46553
32075.899     -0.00000       0.44554
32087.401     -0.00000       0.47019
32098.891     -0.00000       0.17587
32110.369     -0.00000       1.17786
32121.835     -0.00000      -8.31038
32133.289      0.00001       3.79746
32144.731      0.00004       3.67321
32156.161     -0.00003       3.62603
32167.579      0.00000       3.94549
32178.985     -0.00000       3.45647
32190.379     -0.00000       2.83831
32201.761     -0.00000       3.07317
32213.131     -0.00000       2.79822
32224.489     -0.00000       2.72538
32235.835     -0.00000       2.56429
32247.169     -0.00000       2.44375
32258.491     -0.00000       2.30880
32269.801     -0.00000       2.17754
32281.099     -0.00000       2.03828
32292.385     -0.00000       1.89246
32303.659     -0.00000       1.72645
32314.921     -0.00000       1.55742
32326.171     -0.00000       1.34140
32337.409     -0.00000       1.14213
32348.635     -0.00000       0.96923
32359.849     -0.00000      -3.77203
32371.051     -0.00000       0.94077
32382.241      0.00001       1.33641
32393.419     -0.00003       1.06262
32404.585      0.00007       1.20439
32415.739     -0.00020       0.93618
32426.881      0.00535       0.99010
32438.011      0.12617       0.86067
32449.129      0.22321       0.40184
32460.235      0.15507      -0.87033
32471.329      0.13122      -1.13673
32482.411      0.03723      -0.42473
32493.481      0.11113      -0.69534
32504.539      0.08393      -0.77252
32515.585      0.04579      -0.64522
32526.619      0.04073      -1.44098
32537.641      0.05569      -1.32113
32548.651      0.05226      -1.29083
32559.649      0.05170      -1.22637
32570.635      0.03529      -0.84969
32581.609      0.02325      -0.82967
32592.571      0.03536      -0.96996
32603.521      0.02733      -0.39773
32614.459      0.02429      -0.66593
32625.385      0.03103      -1.08067
32636.299      0.02523      -0.54024
32647.201      0.02959      -0.31715
32658.091      0.02523      -0.82149
32668.969      0.02298      -0.15320
32679.835      0.02884      -0.96032
32690.689      0.01865      -0.30841
32701.531      0.02364      -0.09991
32712.361      0.02505      -0.25191
32723.179      0.02056      -0.77948
32733.985      0.01644       0.00417
32744.779      0.02351      -0.44717
32755.561      0.02134      -0.24270
32766.331      0.02236      -0.48450
32777.089      0.02971      -0.71906
32787.835      0.01936      -0.64065
32798.569      0.01478       0.05748
32809.291      0.01308       0.05992
32820.001      0.02231      -0.52524
32830.699      0.02132      -0.47141
32841.385      0.02417       0.16405
32852.059      0.01619      -0.41461
32862.721      0.02543      -0.68802
32873.371      0.01613      -0.15970
32884.009      0.01699       0.41250
32894.635      0.02280      -0.30655
32905.249      0.01475       0.43055
32915.851      0.02337      -0.88683
32926.441      0.01612      -0.18125
32937.019      0.01905       0.25990
32947.585      0.01881      -0.53785
32958.139      0.02152      -0.93736
32968.681      0.01408       1.19233
32979.211      0.01847      -0.39443
32989.729      0.01902      -0.59504
33000.235      0.01215      -0.52253
33010.729      0.02478       0.17059
33021.211      0.01287       0.23909
33031.681      0.02706      -0.61436
33042.139      0.01595       0.22578
33052.585      0.03469      -0.13336
33063.019      0.01549       0.05750
33073.441      0.03352      -0.64668
33083.851      0.03108      -0.25268
33094.249      0.05283      -0.91126
33104.635      0.16695      -1.24468
33115.009      0.21429      -1.18223
33125.371      0.05335       0.60204
33135.721      0.07052       0.03319
33146.059      0.04534      -0.46872
33156.385      0.01283      -1.58201
33166.699      0.01444       1.91903
33177.001      0.02303      -0.95482
33187.291      0.03044      -1.33637
33197.569      0.02314      -1.11190
33207.835      0.03152      -0.71989
33218.089      0.02512      -1.07698
33228.331      0.02659      -1.09408
33238.561      0.02885      -0.83612
33248.779      0.01177       0.10537
33258.985      0.03090      -0.80803
33269.179      0.01984      -1.04429
33279.361      0.02874      -1.18388
