beta	emin	emax	err	epos
1.454	15723	15916	0.06	15819.5
1.608	15916	16244	0.02	16080
-0.483	16586	16875	0.2	16730.5
0.636	17277	17604	0.2	17440.5
1.416	19217	19583	0.06	19400
-0.552	19583	20145	0.2	19864
-0.474	21243	21478	0.2	21360.5
-0.742	22367	23073	0.03	22720
-0.742	22675	22868	0.03	22771.5
-0.742	22876	23103	0.03	22989.5
-0.673	23103	23413	0.06	23258
-0.673	23073	23674	0.06	23373.5
1.146	23926	24081	0.4	24003.5
-0.932	24106	24272	0.4	24189
-0.584	24272	24438	0.4	24355
-0.413	24838	25053	0.4	24945.5
-0.347	25053	25263	0.4	25158
-0.515	25435	25669	0.2	25552
-0.317	25841	26081	0.4	25961
-0.689	26229	26506	0.2	26367.5

